Team,Tournament,Score,PlayedGames,Score / game,WonGames,Win %,DrawnGames,LostGames,Lost %,Win to loss %,BasketScored,BasketGiven,Basket Hit rate,TournamentChampion,Runner-up,TeamLaunch,HighestPositionHeld,,,,,,,,,,,,,
Team 12,51,1789,1698,1.05,586,0.35,389,723,0.43,0.81,2278,2624,-346,0,0,1939,4,,,,,,,,,,,,,
Team 28,18,445,586,0.76,145,0.25,143,298,0.51,0.49,607,992,-385,0,0,1940,11,,,,,,,,,,,,,
Team 11,45,1814,1530,1.19,563,0.37,392,575,0.38,0.98,2052,2188,-136,1,5,1941,1,,,,,,,,,,,,,
Team 35,11,285,334,0.85,103,0.31,79,152,0.46,0.68,419,588,-169,0,0,1941,4,,,,,,,,,,,,,
Team 22,23,667,742,0.9,218,0.29,175,349,0.47,0.62,819,1157,-338,0,0,1941,6,,,,,,,,,,,,,
Team 32,14,353,426,0.83,129,0.3,95,202,0.47,0.64,492,720,-228,0,0,1943,4,,,,,,,,,,,,,
Team 15,43,1389,1458,0.95,471,0.32,358,629,0.43,0.75,1753,2152,-399,0,1,1944,2,,,,,,,,,,,,,
Team 50,4,76,108,0.7,30,0.28,16,62,0.57,0.48,145,252,-107,0,0,1945,10,,,,,,,,,,,,,
Team 47,4,91,116,0.78,34,0.29,16,66,0.57,0.52,181,295,-114,0,0,1947,7,,,,,,,,,,,,,
Team 13,42,1471,1466,1,463,0.32,384,619,0.42,0.75,1767,2180,-413,0,0,1948,4,,,,,,,,,,,,,
Team 17,36,1314,1255,1.05,390,0.31,330,535,0.43,0.73,1421,1763,-342,0,0,1949,4,,,,,,,,,,,,,
Team 55,2,40,68,0.59,13,0.19,14,41,0.6,0.32,70,182,-112,0,0,1950,16,,,,,,,,,,,,,
Team 20,33,1020,1096,0.93,367,0.33,242,487,0.44,0.75,1347,1746,-399,0,1,1951,2,,,,,,,,,,,,,
Team 59,1,19,30,0.63,7,0.23,5,18,0.6,0.39,51,85,-34,0,0,1951,16,,,,,,,,,,,,,
Team 51,3,71,90,0.79,29,0.32,13,48,0.53,0.6,121,183,-62,0,0,1953,14,,,,,,,,,,,,,
Team 60,1,14,30,0.47,5,0.17,4,21,0.7,0.24,34,65,-31,0,0,1955,15,,,,,,,,,,,,,
Team 58,1,22,30,0.73,7,0.23,8,15,0.5,0.47,37,57,-20,0,0,1956,16,,,,,,,,,,,,,
Team 24,21,606,678,0.89,203,0.3,180,295,0.44,0.69,750,1022,-272,0,0,1959,5,,,,,,,,,,,,,
Team 19,27,1148,988,1.16,333,0.34,256,399,0.4,0.83,1182,1371,-189,0,0,1960,3,,,,,,,,,,,,,
Team 27,13,510,494,1.03,155,0.31,128,211,0.43,0.73,619,744,-125,0,0,1961,5,,,,,,,,,,,,,
Team 38,9,230,282,0.82,82,0.29,63,137,0.49,0.6,285,430,-145,0,0,1962,5,,,,,,,,,,,,,
Team 30,11,416,402,1.03,113,0.28,95,194,0.48,0.58,430,632,-202,0,0,1963,6,,,,,,,,,,,,,
Team 42,6,150,180,0.83,53,0.29,44,83,0.46,0.64,165,221,-56,0,0,1963,7,,,,,,,,,,,,,
Team 41,6,168,204,0.82,59,0.29,50,95,0.47,0.62,216,310,-94,0,0,1971,12,,,,,,,,,,,,,
Team 31,12,375,423,0.89,123,0.29,102,198,0.47,0.62,422,581,-159,0,0,1974,7,,,,,,,,,,,,,
Team 23,17,662,652,1.02,189,0.29,148,305,0.47,0.62,760,1088,-328,0,0,1977,8,,,,,,,,,,,,,
Team 33,12,343,448,0.77,104,0.23,127,217,0.48,0.48,393,662,-269,0,0,1977,12,,,,,,,,,,,,,
Team 40,5,188,186,1.01,50,0.27,46,90,0.48,0.56,202,296,-94,0,0,1978,8,,,,,,,,,,,,,
Team 53,2,52,68,0.76,17,0.25,18,33,0.49,0.52,71,116,-45,0,0,1979,10,,,,,,,,,,,,,
Team 34,9,293,346,0.85,96,0.28,92,158,0.46,0.61,291,489,-198,0,0,1987,7,,,,,,,,,,,,,
Team 46,3,96,114,0.84,26,0.23,44,44,0.39,0.59,101,139,-38,0,0,1990,9,,,,,,,,,,,,,
Team 36,7,277,270,1.03,76,0.28,76,118,0.44,0.64,320,410,-90,0,0,1991,7,,,,,,,,,,,,,
Team 39,4,190,160,1.19,52,0.33,45,63,0.39,0.83,199,241,-42,0,0,1994,10,,,,,,,,,,,,,
Team 49,2,81,80,1.01,19,0.24,24,37,0.46,0.51,70,115,-45,0,0,1995,19,,,,,,,,,,,,,
Team 48,2,83,80,1.04,20,0.25,23,37,0.46,0.54,62,117,-55,0,0,1996,17,,,,,,,,,,,,,
Team 21,17,970,646,1.5,266,0.41,172,208,0.32,1.28,892,789,103,0,0,1998,2,,,,,,,,,,,,,
Team 43,4,148,152,0.97,37,0.24,37,78,0.51,0.47,155,253,-98,0,0,1999,17,,,,,,,,,,,,,
Team 25,12,553,456,1.21,147,0.32,112,197,0.43,0.75,520,633,-113,0,0,2004,6,,,,,,,,,,,,,
Team 37,6,242,228,1.06,62,0.27,56,110,0.48,0.56,244,366,-122,0,0,2007,8,,,,,,,,,,,,,
Team 57,1,34,38,0.89,8,0.21,10,20,0.53,0.4,38,66,-28,0,0,2009,20,,,,,,,,,,,,,
Team 44,3,132,114,1.16,35,0.31,27,52,0.46,0.67,139,167,-28,0,0,2014,10,,,,,,,,,,,,,
Team 56,1,35,38,0.92,8,0.21,11,19,0.5,0.42,36,55,-19,0,0,2016,17,,,,,,,,,,,,,
